comment_id,car_model,外观设计,内饰质感,智能配置,空间实用,舒适体验,操控性能,续航能耗,价值认知
0,10小米SU7 Ultra,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7999999999999999,0.0,0.0
1,10小米SU7 Ultra,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7999999999999999
2,10小米SU7 Ultra,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0
3,10小米SU7 Ultra,0.7999999999999999,0.0,0.7999999999999999,0.0,0.0,1.0,0.0,1.0
4,10小米SU7 Ultra,0.0,0.39999999999999997,1.0,0.0,0.0,1.0,0.0,0.0
5,10小米SU7 Ultra,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,11智界S7,0.7999999999999999,0.0,0.7999999999999999,0.39999999999999997,0.0,0.0,0.39999999999999997,0.6666666666666666
7,11智界S7,0.0,0.8,0.3333333333333333,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.0,0.0
8,11智界S7,0.0,0.6666666666666666,1.0,0.7999999999999999,0.0,1.0,0.39999999999999997,0.0
9,11智界S7,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
10,11智界S7,1.0,0.0,1.0,1.0,0.26666666666666666,1.0,0.0,0.0
11,11智界S7,0.7999999999999999,1.0,1.0,0.39999999999999997,0.0,1.0,1.0,0.6666666666666666
12,11智界S7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,11智界S7,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
14,11智界S7,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
15,11智界S7,0.0,0.0,1.0,0.0,0.7999999999999999,1.0,1.0,0.0
16,11智界S7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
17,11智界S7,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
18,11智界S7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
19,11智界S7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20,11智界S7,0.0,0.0,1.0,1.0,0.0,0.0,0.7999999999999999,0.0
21,11智界S7,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0
22,11智界S7,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
23,11智界S7,0.0,0.0,1.0,0.0,0.0,1.0,0.7999999999999999,1.0
24,11智界S7,0.0,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.0,1.0,0.0
25,11智界S7,1.0,0.3333333333333333,1.0,0.39999999999999997,0.0,0.0,0.3333333333333333,0.6666666666666666
26,11智界S7,1.0,0.7999999999999999,1.0,0.7999999999999999,0.5333333333333333,0.0,0.7999999999999999,0.26666666666666666
27,11智界S7,0.39999999999999997,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.0,0.26666666666666666,0.7999999999999999,0.0
28,11智界S7,0.39999999999999997,0.39999999999999997,0.8,0.0,0.8,0.0,0.0,0.3333333333333333
29,11智界S7,1.0,1.0,0.39999999999999997,0.0,0.7999999999999999,1.0,0.6666666666666666,0.7999999999999999
30,11智界S7,0.6666666666666666,0.0,0.3333333333333333,0.0,0.8,0.26666666666666666,0.0,0.0
31,11智界S7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.0,0.0,0.39999999999999997,0.0,0.5333333333333333
